Ränta (rate),Bank,Bindningstid (loan duration),Postnummer (ZIP),Hur stort är ditt bolån (amount),När band du lånet (start date)
"3,7",Swedbank,1 år,"37152","1,2 mkr",Februari 2012
"3,9",Nordea,3 månader,"37 153",2200000,2012-01-01
"3,86",Swedbank,2 år,"37160",,
"3,7",Länsförsäkringar,2 år,"37160",650000,20120329
"4,1",Swedbank,Rörlig,"37 160",350000,90615
"4,15",Nordea,2 år,"37161",,
"3,45",Nordea,3 år,"37161","1,4mk",juli 2010
"4,15",Länsförsäkringar,3 månader,"37 161",800000,Januari 2010
"4,05",Nordea,Rörlig,"37 163","4,4",100510
"3,9",Swedbank,Rörlig,"37 163",3,20120130
"4,5",Nordea,3 månader,"37 163","1,625 mkr",Inte bundet
"3,42",Handelsbanken,2 år,"37163",800000 totalt,2011-12-30
"3,68",Länsförsäkringar,3 år,"37163","0,437",januari 2011
"4,31",SBAB,3 månader,"37 163","0,7 mkr",Februari 2007
"3,39",Swedbank,2 år,"37163","2,5mkr",Januari 2012
"3,3",Nordea,3 år,"37164",3800000,20120315
"3,66",SEB,3 månader,"37 164",550000,20120228
"3,2",SEB,2 år,"37164",250000,20120228
"3,4",SEB,3 år,"37164",550000,20120228
"3,37",Swedbank,3 år,"37164",900000,November 2011
"3,69",Swedbank,5 år,"37164",900000,november 2011
"3,4",Swedbank,Rörlig,"37 164",300000,November 2011
"4,2",Swedbank,3 månader,"37 164",950000,Februari 2011
"4,2",Swedbank,3 månader,"37 164",950000,Februari 2011
"3,8",Nordea,3 månader,"37 165","1,5",2011-05-01
"3,98",Nordea,3 månader,"37 165",3 mkr,20120315
"3,89",Swedbank,3 månader,"37 191",1mkr,mars 2011
"4,15",SBAB,Rörlig,"37 200",,
"3,77",Swedbank,3 månader,"37 230",276000,20120201
"2,98",Handelsbanken,3 år,"37231","1,6",110401
"3,25",Swedbank,3 år,"37232","0,7",90901
4,Handelsbanken,Rörlig,"37 233",,
"3,6",Swedbank,3 månader,"37 233","1,9",2012-02-01
"4,13",SEB,3 månader,"37 233","1,5",februari 2012
"3,91",Swedbank,5 år,"37234",450000,November 2011
"3,8",Swedbank,Rörlig,"37 236",,
"3,56",SEB,Rörlig,"37 237",,
"2,95",Swedbank,2 år,"37237",800000,20100901
"4,5",Swedbank,Rörlig,"37 237",800000,20120301
"3,62",SEB,3 månader,"37 237","0,8 mkr",December 2011
"3,98",SBAB,2 år,"37238",,
"4,3",Swedbank,3 månader,"37 239",800000,2011-12-12
4,Swedbank,Rörlig,"37 239","0,4 mkr",20111101
"4,72",SBAB,3 månader,"37 239","1,3 mkr",2012-01-17
"4,05",Swedbank,2 år,"37250",,
"2,88",Swedbank,3 år,"37251",400000,2010-05-24
"4,3",Swedbank,3 månader,"37 251",450000,2009-05-28
"3,6",Handelsbanken,Rörlig,"37 273","0,7",Mars 2012
"3,6",Handelsbanken,3 månader,"37 273","0,7",Mars 2012
"4,17",Swedbank,1 år,"37274",,
"3,8",Nordea,2 år,"37274",,
"4,13",Handelsbanken,Rörlig,"37 294",,
"4,19",Handelsbanken,3 månader,"37 297",,
"3,6",SEB,2 år,"37297","2,3",2012-09-06
"4,05",Handelsbanken,3 månader,"37 297","0,95",September 2010
"3,8",Swedbank,5 år,"37300","1,1 mkr",mars 2012
"3,92",Swedbank,5 år,"37302",800000,20091001
"4,15",Swedbank,3 månader,"37 302",250000,2012-03-28
"3,8",Nordea,4år,"37302","1,2mkr",20120220
"3,45",Swedbank,2 år,"37400",650000,2012-03-31
"4,42",Länsförsäkringar,Rörlig,"37 421",455kkr,2011-02-01
"4,03",Nordea,3 månader,"37 430",,
"4,03",Nordea,3 månader,"37 430",,
"4,3",Handelsbanken,3 månader,"37 433",700000,Juli 2010
"3,69",Handelsbanken,3 månader,"37 434","2,87",20120201
"5,2",Swedbank,5 år,"37435",552000 kr,80110
"3,8",Nordea,3 månader,"37 437","1,3",120101
"2,2",Handelsbanken,5 år,"37438","1,1 mkr",2010-02-12
"4,1",Nordea,3 månader,"37 441","1,4",januari 2010
"3,8",Swedbank,Rörlig,"37 450",,
"3,77",Handelsbanken,5 år,"37450",,
"4,4",Swedbank,Rörlig,"37 450",2,20120301
"3,53",Länsförsäkringar,2 år,"37450",850,20110201
"4,79",Swedbank,5 år,"37451",,
"4,15",Swedbank,3 månader,"37 452",1200000,2002-04-01
"4,1",Nordea,Rörlig,"37 452",1 mkr,120302
"4,05",Swedbank,Rörlig,"37 452",520000,mars 2012
"4,05",Swedbank,Rörlig,"37 452",520000,mars 2012
"4,65",Swedbank,3 månader,"37 463",567 tkr,2012-01-28
"3,76",Swedbank,3 månader,"37 491","0,9 mkr",120301
"3,306",Swedbank,3 månader,"37 493",800000,2012-02-15
"4,45",Swedbank,3 månader,"37 493",80000,2012-01-28
"4,3",Swedbank,Rörlig,"37 530",500000,20
"4,35",Swedbank,Rörlig,"37 534",180000,101231
"5,27",Swedbank,12,"37 534",1000000,Februari 2003
"3,45",Swedbank,1 år,"37590",700000,120301
"3,8",Swedbank,3 år,"37635",220000,20120331
"3,68",Swedbank,2 år,"37635",675000,2011-10-20
"4,3",Swedbank,Rörlig,"37 637",115000,20120315
"2,89",SEB,2 år,"37924","1,0 mkr",110801
"4,42",Länsförsäkringar,3 månader,"38 030",,
"3,8",Handelsbanken,2 år,"38030","2,7mkr",2010-12-10
"5,23",Länsförsäkringar,5 år,"38030",239700,sep 2007
"5,1",Länsförsäkringar,5 år,"38030",176400,juni 2011
"5,1",Länsförsäkringar,5 år,"38030",179900,juni 2011
"3,2",Swedbank,2 år,"38030",1,Maj 2011
"4,15",Swedbank,Rörlig,"38 031",,
"4,39",Swedbank,2 år,"38040",232000,2011-03-26
"3,9",Danske Bank,Rörlig,"38 052",2 mkr,Xxxxxx
"3,74",Swedbank,5 år,"38053","0,5 mkr",2011-09-25
"4,1",Swedbank,2 år,"38231",,
"3,41",SEB,3 månader,"38 232",800000,110901
"2,8",Swedbank,2 år,"38232",637000,20101001
"3,1",Swedbank,3 år,"38232",637000,20101001
"3,4",Swedbank,5 år,"38232",637000,20101001
"4,15",Länsförsäkringar,3 månader,"38 234",,
"3,65",Swedbank,2 år,"38237",442000,20120326
"2,92",Swedbank,Rörlig,"38 238",1600000,2008
"3,5",SEB,10 år,"38244",2,2012-03-03
"3,95",Swedbank,3 månader,"38 244",881000,2012-03-28
"4,2",Nordea,Rörlig,"38 245",700000,120120
"4,4",Handelsbanken,3 månader,"38 245",300000,120201
4,Länsförsäkringar,3 månader,"38 246",,
4,Länsförsäkringar,3 månader,"38 246","0,6mkr",20120331
"3,75",Swedbank,3 månader,"38 292",01.0"2,00",2012-03-28
"4,27",Handelsbanken,Rörlig,"38 293",,
4,Swedbank,Rörlig,"38 296",525000,November 2011
"3,5",Swedbank,3 år,"38332",,
"3,9",Swedbank,2 år,"38334",,
"3,9",Swedbank,2 år,"38334",,
"5,02",Swedbank,5 år,"38334",700000,71020
"3,59",Swedbank,3 år,"38335","1,02 mkr",20120214
"3,59",Swedbank,3 år,"38335","1,02",20120305
"4,15",SBAB,3 månader,"38 430","1,2",120108
"4,25",Swedbank,Rörlig,"38 440",3000000,2012
"5,45",Handelsbanken,5 år,"38531","1,3",juni 2007
"4,45",Nordea,Rörlig,"38 542","0,45",Augusti 2001
"3,93",Nordea,Rörlig,"38 593","1,2 mkr",2009-05-01
"3,45",Nordea,Rörlig,"38 596",,
"4,8",Handelsbanken,5 år,"38630","1,2",2005
"3,65",Handelsbanken,Rörlig,"38 633",1464000,80526
"3,6",Handelsbanken,3 år,"38634","1,35",2012-03-01
"3,87",Swedbank,5 år,"38634","2,8",120101
"3,74",Handelsbanken,Rörlig,"38 651","1,6 mkr",September 2011
"3,79",Swedbank,5 år,"38660",,
"3,9",Swedbank,3 månader,"38 661",,
"3,95",Swedbank,2 år,"38661","0,2 mkr",20110930
4,Swedbank,1 år,"38664",350000,juli 2011
"3,29",Swedbank,3 år,"38690","1,7",2012-03-26
"4,2",Nordea,Rörlig,"38 692",,
"4,45",Swedbank,Rörlig,"38 692","1,2 mkr",December 2010
"4,8",Swedbank,12år,"38692","1,2 mkr",Mars 2005
"4,05",Swedbank,2 år,"38695","2,7",2011-04-10
"4,13",Handelsbanken,Rörlig,"38 695",200000,Mars 2o11
"3,4",Swedbank,2 år,"38696","1,1 mkr",Mars 2011
"3,17",Handelsbanken,3 månader,"38 734","1,2",2012-03-01
"3,17",Handelsbanken,3 månader,"38 734","1,2",2012-03-01
"3,17",Handelsbanken,3 månader,"38 734","1,2",2012-03-01
"4,5",Swedbank,3 månader,"38 735",,
"4,34",SBAB,3 månader,"38 735",365tkr,mars 2012
"4,15",Swedbank,3 månader,"38 736",,
"4,15",Swedbank,3 månader,"38 736",,
"4,15",Handelsbanken,5 år,"38736",2,806011
"4,1",Skandiabanken,Rörlig,"38 773",,
"3,93",Swedbank,3 månader,"38 791",540000,20120309
"3,83",Handelsbanken,3 månader,"38 792","1,2 mkr",2012-04-01
"3,69",Skandiabanken,2 år,"38792",500000,2012-04-01
"3,9",Swedbank,3 år,"38792","0,51",20111013
"3,55",Handelsbanken,2 år,"38796",,
"3,88",Handelsbanken,3 månader,"38 796",,
"3,3",Handelsbanken,1 år,"38830","0,5 mkr",September 2011
4,Handelsbanken,5 år,"38830","0,5 mkr",September 2011
"4,1",Swedbank,Rörlig,"38 841",1mkr,20120628
"3,79",Swedbank,2 år,"38891",190000,120126
"3,8",Nordea,Rörlig,"38 892","2,5 mkr",2011-12-01
"3,86",Handelsbanken,2 år,"38892","2,2mkr",20110513
"3,82",Swedbank,3 år,"38892","1,8 mkr",September 2011
"3,85",Swedbank,3 månader,"38 894",,
"3,75",Nordea,Rörlig,"38 894",250000,20120210
"3,85",SBAB,2 år,"38896","0,9 mkr",2010
"4,3",Swedbank,3 månader,"38 896","2,2",december 2009
"4,25",Swedbank,3 månader,"38 898",,
"4,2",Länsförsäkringar,Rörlig,"38 898",800000,20100104
"3,6",SEB,Rörlig,"39 100",,
"3,55",Nordea,3 år,"39151",500000,120402
"3,55",Handelsbanken,2 år,"39173",500000,111101
"4,18",Handelsbanken,3 månader,"39 230","1,5 mkr",2012-02-01
"4,3",Swedbank,5 år,"39231",,
"3,69",Handelsbanken,3 år,"39231",886000,120131
"4,45",Swedbank,Rörlig,"39 232",,
"4,05",Handelsbanken,3 månader,"39 233",,
"3,9",Swedbank,2 år,"39233",,
"3,9",Swedbank,2 år,"39233",,
"5,02",Länsförsäkringar,Rörlig,"39 233","1,4 mkr",0
"3,5",Handelsbanken,3 månader,"39 234",,
"3,7",Danske Bank,Rörlig,"39 234","1,7 mkr",0
"3,7",Danske Bank,Rörlig,"39 234","1,7 mkr",juni 2009
"3,7",Danske Bank,Rörlig,"39 234","1,7 mkr",juni 2009
"3,25",Handelsbanken,3 månader,"39 236",,
"3,94",Swedbank,3 månader,"39 236",,
"3,75",Nordea,2 år,"39236","0,513",110916
"3,65",Handelsbanken,3 år,"39236","1,150 mkr",Mars 2012
"3,55",Swedbank,3 år,"39237",270000,20110815
"4,3",Länsförsäkringar,2 år,"39238",620000,2011-07-01
"3,18",Handelsbanken,2 år,"39244","4,25 mkr",2011-06-25
"4,15",Swedbank,3 månader,"39 244","0,6",2012-03-28
"3,65",Handelsbanken,Rörlig,"39 244",780000,2008-07-15
"3,6",Danske Bank,Rörlig,"39 244","2,3 mkr",rörligt
"4,17",Swedbank,5 år,"39244","3,2",Oktober 2009
"3,5",Swedbank,3 år,"39247","1,2 mkr",sept 2011
4,Länsförsäkringar,Rörlig,"39 247",,
"4,43",Handelsbanken,3 månader,"39 247",,
"4,81",Handelsbanken,8 år,"39247",,
"3,25",Nordea,3 år,"39247","0,375",2012-02-16
"3,13",SEB,3 månader,"39 247",2 mkr,2010-01-01
"3,44",Handelsbanken,1 år,"39351",,
4,Swedbank,3 månader,"39 351","2,5 mkr",2011-10-01
"3,61",SEB,2 år,"39351","1,3",12.03.28
"4,3",SEB,3 år,"39351","1,2",11.04.01
4,Nordea,3 månader,"39 351","1,9 mkr",Februari 2012
"4,33",Nordea,2 år,"39352",480000,111010
"4,35",Swedbank,Rörlig,"39 353",,
"2,58",Swedbank,2 år,"39353",300000,2012-01-25
"5,05",Swedbank,Rörlig,"39 354",,
"3,7",Swedbank,2 år,"39354","1,365 mkr",December 2010
"3,8",Handelsbanken,5 år,"39355",,
"4,3",Swedbank,3 månader,"39 355","1,2",20120115
"3,4",Swedbank,Rörlig,"39 359",,
"4,83",SBAB,5 år,"39359",,
"4,5",Nordea,3 månader,"39 359",641000,2010118
"3,43",Nordea,3 år,"39359","1,5 mkr",Mars 2012
"3,1",SEB,1 år,"39360",,
"3,9",Swedbank,3 år,"39360","11,1 mkr",2012-02-24
"3,77",Swedbank,2 år,"39360","2,8 mkr",2012-01-24
"3,85",Handelsbanken,2 år,"39360","2,8",20111201
"3,5",Handelsbanken,Rörlig,"39 363",,
"4,43",Handelsbanken,3 månader,"39 363","1,3 mkr",2012-02-01
"4,02",Swedbank,3 månader,"39 363",750000,120128
"4,1",Skandiabanken,3 månader,"39 363",146000,120301
"4,15",SEB,3 månader,"39 364","1,2",120101
"3,05",Swedbank,2 år,"39364","0,5",november 2010
3,Nordea,3 månader,"39 365",,
"3,46",SEB,3 månader,"39 365","1,1 mkr",2011-09-28
"3,3",SEB,3 år,"39365",1 mkr,2012-02-28
4,Nordea,Rörlig,"39 365",1,20111221
"4,09",Handelsbanken,Rörlig,"39 365","0,8",feb 2012
"3,85",Länsförsäkringar,2 år,"39470",,
"3,09",Handelsbanken,2 år,"39470","1,45",2011-09-01
"5,14",Swedbank,5 år,"39470","0,4",120920
"3,19",SEB,1 år,"39470",128000,20110701
"4,15",Swedbank,Rörlig,"39 470","1,3",2012-03-28
"3,73",Swedbank,3 år,"39471",1.3 mkr,110915
"3,9",Nordea,Rörlig,"39 477","2,5",120127
"3,94",Handelsbanken,3 månader,"39 477",,
"4,25",Swedbank,3 månader,"39 477",856000,20100101
"3,9",Nordea,3 månader,"39 477",585000,2012-03-01
"3,38",Swedbank,3 år,"39594",600000,20120212
"4,65",Handelsbanken,Rörlig,"39 598",,
"3,6",Handelsbanken,2 år,"40157",850000,20120301
"3,46",SEB,3 månader,"40 578",500000,20120329
"3,95",Länsförsäkringar,3 månader,"41 101",,
"3,6",Handelsbanken,1 år,"41101",516000,2011-06-30
"3,7",Nordea,Rörlig,"41 101",450000,120401
"2,85",Nordea,3 år,"41101",630000,100801
"3,06",SEB,Rörlig,"41 102",,
"3,06",SEB,Rörlig,"41 102",,
"4,1",SBAB,3 månader,"41 102","1,75 mkr",2012-03-10
"3,66",Swedbank,2 år,"41108",,
"3,6",Handelsbanken,3 månader,"41 108","0,8",2012-03-01
"3,13",Swedbank,3 månader,"41 111","1,3",April 2012
"3,65",Nordea,3 månader,"41 113","2,4mkr",2012-03-21
"3,76",SEB,3 månader,"41 114","0,1 mkr",2012-03-28
"3,2",Danske Bank,3 år,"41115",,
"3,83",SEB,2 år,"41118",,
"4,4",Skandiabanken,Rörlig,"41 118",,
"3,9",Handelsbanken,3 månader,"41 118",,
"3,53",Swedbank,3 månader,"41 118",,
"3,5",Swedbank,3 månader,"41 118","2,6",april 2012
"3,33",Swedbank,3 månader,"41 119",,
"3,33",Swedbank,3 månader,"41 119",,
"3,8",Nordea,3 månader,"41 119","1,18",120201
"3,21",SEB,3 månader,"41 119","1,25",120322
"2,94",SEB,1 år,"41119","1,66",20110901
"3,85",Nordea,3 månader,"41 120",,
"3,92",Handelsbanken,2 år,"41120","1,0 mkr",2010-12-09
"4,1",Danske Bank,Rörlig,"41 120","2,8 mkr",2012-04-03
"3,73",Handelsbanken,3 månader,"41 120","1,7mkr",mars 2012
"4,09",SBAB,3 månader,"41 120",100000,Jan 2012
"3,85",Nordea,3 månader,"41 122",,
4,Nordea,2 år,"41122",,
"2,9",SEB,3 år,"41122","1,05",2012-01-28
"3,24",SEB,3 år,"41122","0,9",2012-01-13
"2,75",Swedbank,Rörlig,"41 122","2,11",2007-09-18
"3,58",Danske Bank,Rörlig,"41 122",3105000,20120104
"3,29",SEB,3 år,"41122","1,0 mkr",2012-02-28
"3,31",Swedbank,Rörlig,"41 122","0,4 mkr",december 2008
"3,95",Länsförsäkringar,3 månader,"41 123","1,6 mkr",december 2011
"3,77",Swedbank,Rörlig,"41 124",,
"4,26",Nordea,3 månader,"41 124","2,8",120125
"4,13",Handelsbanken,3 månader,"41 124",2.5 mkr,20110710
3,Swedbank,3 år,"41124",760000,2010
"3,8",Skandiabanken,3 månader,"41 125","2,3 mkr",20120228
"3,35",Danske Bank,Rörlig,"41 125",2890000,90601
"3,4",Handelsbanken,Rörlig,"41 126","2,8 mkr",Inte bundet
"3,95",SEB,3 månader,"41 127","0,8 mkr",2012-02-28
"3,5",Nordea,3 år,"41127","1,615",2012-03-02
"3,94",Handelsbanken,Rörlig,"41 127","1,6",120330
"3,7",Danske Bank,Rörlig,"41 127","1,6 mkr",Lånet är rörligt
"3,9",Handelsbanken,3 månader,"41 130",,
"3,43",Swedbank,3 månader,"41 131",,
"3,37",SEB,3 månader,"41 131",800000,121220
"3,3",Swedbank,3 månader,"41 132",,
"3,12",SEB,1 år,"41132","3,1mkr",120201
"3,73",Handelsbanken,3 månader,"41 132","3,5 mkr",april 2012
"3,78",Handelsbanken,3 månader,"41 132","1,8 mkr",December 2010
"2,65",Swedbank,2 år,"41133",,
"3,55",SEB,3 månader,"41 133",,
"3,6",Länsförsäkringar,3 år,"41133",,
"3,77",Handelsbanken,Rörlig,"41 133",,
"2,65",Swedbank,2 år,"41133",700000,2010-10-20
"3,86",Swedbank,3 månader,"41 134",,
"4,3",Skandiabanken,Rörlig,"41 134","0,5mkr",2012-03-31
4,Länsförsäkringar,3 månader,"41 135","2,1 mkr",2012-01-01
"3,26",SEB,Rörlig,"41 135",3600000,20111227
"3,45",Swedbank,2 år,"41135",500kkr,120401
"4,1",Handelsbanken,Rörlig,"41 135",3,2011-01-13
"3,79",Nordea,3 år,"41135",2.2 mkr,110530
"3,55",Handelsbanken,3 år,"41135","1,9 mkr",Dec 2010
"3,26",Handelsbanken,3 månader,"41 135","3,55",obundet
"3,2",Handelsbanken,Rörlig,"41 135",2,rörligt
"4,45",Länsförsäkringar,Rörlig,"41 137",430000,Juli 2010
"2,47",Länsförsäkringar,2 år,"41137","1,0 mkr",Juli 2010
"3,7",Länsförsäkringar,5 år,"41137","1,0 mkr",Juli 2010
"4,33",Handelsbanken,3 månader,"41 139",2 mkr,2012-01-01
"3,17",Swedbank,Rörlig,"41 139",,
"4,1",Danske Bank,Rörlig,"41 139",",7 mkr",2007-10-30
"4,3",Handelsbanken,3 månader,"41 139",2,2012-01-01
"3,75",Swedbank,Rörlig,"41 139",395000,110708
"4,22",SEB,Rörlig,"41 143",,
"3,99",Swedbank,3 månader,"41 143",,
"3,05",SEB,2 år,"41143",,
"4,05",Nordea,1 år,"41160","1,6 mkr",april 2011
"3,9",Nordea,3 månader,"41 252",,
"3,5",Swedbank,2 år,"41252",,
"3,95",Swedbank,Rörlig,"41 252",1 mkr,120328
"4,19",Handelsbanken,3 månader,"41 252","1,7",2012-01-31
"3,5",Swedbank,3 månader,"41 252","3,2 mkr",101111
"3,83",Handelsbanken,3 månader,"41 252","2,2 mkr",2012-04-01
"3,29",Handelsbanken,3 månader,"41 252",2800,2012-04-01
"4,1",Länsförsäkringar,Rörlig,"41 252","2,4 mkr",mars2012 
"2,49",Skandiabanken,2 år,"41252",1.8 mkr,maj 2010
"3,48",Handelsbanken,2 år,"41254",950000,20120401
"3,7",Handelsbanken,3 månader,"41 254",950000,20120401
"3,1",SEB,2 år,"41254","1,5",2011-12-23
"3,5",Handelsbanken,5 år,"41255",4,2007
"3,06",SEB,3 månader,"41 255","6,7 mkr",Januari 2012
"3,85",Nordea,3 månader,"41 256",,
"3,75",Danske Bank,Rörlig,"41 256",,
"3,95",SBAB,3 månader,"41 257",,
"3,52",Handelsbanken,1 år,"41257",,
"3,52",Handelsbanken,1 år,"41257",,
"3,65",Danske Bank,Rörlig,"41 257","3,0 mkr",2010-09-01
"3,78",SEB,Rörlig,"41 257","1,65",20100505
"3,45",SEB,1 år,"41258","3,3 mkr",20110428
"3,75",Danske Bank,3 månader,"41 258","2,3",2011-10-01
"4,13",SBAB,3 månader,"41 258","2,3",2012-03-01
"4,1",Nordea,Rörlig,"41 259","1,3 mkr",juli 2011 
"4,1",Handelsbanken,1 år,"41259",,
4,Swedbank,2 år,"41259",,
"3,36",SEB,3 månader,"41 259",800000,2012-03-30
"3,6",SEB,3 månader,"41 259",800k,Mars 2012
"3,9",Nordea,3 månader,"41 259","1,3 mkr",Januari 2012
"3,17",Swedbank,3 månader,"41 259","5,5 mkr",Februari
"3,72",Handelsbanken,3 år,"41260","1,5 mkr",111230
"4,78",SBAB,Rörlig,"41 260","1,2 mkr",2001-01-12
"4,14",Handelsbanken,3 månader,"41 260","1,665",Februari 2012
"3,14",SEB,2 år,"41261",,
"2,88",Swedbank,3 år,"41261",,
"3,86",Nordea,3 månader,"41 261","1,2 mkr",120115
"3,95",Nordea,3 månader,"41 261",1130000,90730
"4,5",Nordea,3 månader,"41 262",,
"3,65",SEB,3 månader,"41 262",,
"3,66",SEB,3 månader,"41 262","0,9",120328
"4,16",Skandiabanken,3 månader,"41 262",400000,Mars 2012
"3,6",Danske Bank,3 månader,"41 263",2,2011-04-25
"4,08",Handelsbanken,3 år,"41263",700000,20110128
"3,85",Swedbank,Rörlig,"41 263","1,1",20070601
"3,03",Swedbank,2 år,"41263",1800000,20111209
"2,98",SEB,3 år,"41264",1275000,20111229
"4,25",Länsförsäkringar,3 år,"41264",,
"3,8",SEB,3 månader,"41 265",,
"3,8",Nordea,Rörlig,"41 265",,
"3,1",Handelsbanken,3 år,"41266",5,2012-03-20
"3,56",SEB,3 månader,"41 267",,
"3,65",Danske Bank,Rörlig,"41 267",,
"3,77",Handelsbanken,2 år,"41267","1,7mkr",juni 2011
"3,43",Handelsbanken,Rörlig,"41 267","1,5 mkr",februari 2012
"3,71",SEB,3 månader,"41 268",,
"3,5",Danske Bank,3 månader,"41 269",,
"3,77",Handelsbanken,3 månader,"41 270",,
"3,65",Handelsbanken,3 månader,"41 270",,
"3,6",Handelsbanken,1 år,"41270","3,5 mkr",2011-11-30
"3,15",Handelsbanken,2 år,"41270",10 milj,2012-03-13
"3,65",Nordea,2 år,"41272","1,05 mkr",111205
"4,05",Swedbank,Rörlig,"41 272",892000 kr,120128
"3,85",Handelsbanken,1 år,"41273",,
"5,5",Nordea,Rörlig,"41 273","2,1",1997
"3,5",Handelsbanken,3 år,"41274",,
"3,7",Handelsbanken,Rörlig,"41 274",,
"4,6",Nordea,3 månader,"41 275",,
"4,05",Swedbank,3 månader,"41 275",800000,2012-03-15
"3,7",SEB,Rörlig,"41 275",750000,2011.05.10
"3,7",SEB,Rörlig,"41 275",750000,2011.05.10
"3,9",Swedbank,3 månader,"41 276",1,2012-03-30
"3,98",Handelsbanken,1 år,"41276","1,4",110601
4,Handelsbanken,Rörlig,"41 279",,
"3,66",SEB,Rörlig,"41 279",,
"3,7",Danske Bank,Rörlig,"41 279",425000,2012-04-03
"2,97",SEB,2 år,"41282",,
"3,9",SEB,3 månader,"41 302",,
"3,75",Danske Bank,Rörlig,"41 303","2,3",20120401
"3,38",Swedbank,2 år,"41304",3000000,120130
"3,88",SBAB,Rörlig,"41 304","2,1 mkr",2009-07-15
"4,17",Handelsbanken,3 månader,"41 305",,
"3,99",Handelsbanken,5 år,"41305",,
"3,56",SEB,3 månader,"41 306","1,5 mkr",2012-03-21
"3,26",SEB,2 år,"41306",1955000,Nov 2011
"3,4",Handelsbanken,2 år,"41307",650000,20110901
"4,3",Nordea,Rörlig,"41 307","1,2",2012
"3,75",Swedbank,3 månader,"41 308",2 mkr,2012-02-25
"4,1",Nordea,3 månader,"41 308",,
"3,94",SEB,3 månader,"41 308",,
"3,39",SEB,3 månader,"41 308",,
"3,56",SEB,3 månader,"41 308","1,27 mkr",2012-03-01
"3,75",Danske Bank,Rörlig,"41 308",1300000,2011-08-31
"3,3",Danske Bank,2 år,"41308",500000,2012-04-02
"3,6",Nordea,Rörlig,"41 308","2,3",2011-09-01
"4,06",SEB,3 månader,"41 308","1,8 mkr",110930
"3,34",SEB,3 månader,"41 308","1,7",2009-07-15
"4,28",Handelsbanken,3 månader,"41 309",,
"4,1",Handelsbanken,3 månader,"41 309",,
"3,77",Swedbank,3 månader,"41 309",,
"3,7",Nordea,3 månader,"41 309",,
"3,09",Swedbank,3 år,"41309",2000000,20120326
"3,49",SEB,4 år,"41309",920 tkr,2011-09-20
"3,25",Handelsbanken,2 år,"41309","1,2mkr",2011-10-22
"3,8",SEB,3 månader,"41 309","1,1 mkr",20120225
"3,27",Handelsbanken,2 år,"41309","1,5 mkr",mars 2012
"3,1",Handelsbanken,3 månader,"41 309","1,6 mkr",Februari 2012
"3,83",Handelsbanken,3 månader,"41 310",1,2012-03-01
"3,95",Nordea,1 år,"41310","2,1 mkr",2011-08-20
"3,23",Handelsbanken,2 år,"41310","1,2 mkr",20120130
"3,56",SEB,3 månader,"41 310","1,15 mkr",Mars 2012
"4,13",Handelsbanken,3 månader,"41 311",,
"3,75",Swedbank,Rörlig,"41 311",,
"3,11",Handelsbanken,2 år,"41311",450000,2011-09-15
"3,85",SEB,3 månader,"41 311","1,7mkr",28jan12
"3,7",SEB,3 år,"41311","1,1 mkr",2010-10-01
"3,6",SEB,Rörlig,"41 311","2,7",februari 2012
"3,5",Swedbank,3 månader,"41 313",,
"2,95",SEB,2 år,"41314","2,3 mkr",2011-11-15
"3,55",Swedbank,3 månader,"41 314","2,8 mkr",2012-03-28
"2,89",Handelsbanken,2 år,"41315","3,3mkr",September 2011
"3,55",Handelsbanken,3 år,"41315","1,6 mkr",oktober 2011
3,Swedbank,2 år,"41316","1,2",20100502
"3,63",SEB,3 månader,"41 316",1980000,2011-09-01
"2,98",SEB,1 år,"41316",,
"4,83",Nordea,3 månader,"41 316",1300000,20070920
"3,77",Handelsbanken,3 månader,"41 317",1000000,2012-03-01
"4,03",Skandiabanken,2 år,"41318",,
"4,5",Nordea,3 månader,"41 318","1,5",50701
"4,18",SBAB,3 månader,"41 318","0,5 mkr",2012-03-15
"4,15",Swedbank,3 månader,"41 318","1,2 mkr",2012-01-28
"2,82",Nordea,2 år,"41318","1,1 mkr",2010-08-01
"4,2",Nordea,3 månader,"41 318","1,26 mkr",2012-03-06
"3,9",Nordea,3 månader,"41 319",,
"3,52",SEB,3 månader,"41 319","1,5 mkr",20120328
"3,5",Nordea,2 år,"41319","1,2",2011-03-01
"3,35",Danske Bank,3 år,"41320",1000000,Mars 2012
"3,99",Nordea,Rörlig,"41 320","1,5mkr",rörligt
4,SBAB,3 månader,"41 320",,
"3,7",Danske Bank,Rörlig,"41 320",,
"3,92",Handelsbanken,3 månader,"41 320",,
"3,4",SEB,3 månader,"41 320",,
"3,96",Handelsbanken,Rörlig,"41 320",1200000,2012-02-01
"3,55",Danske Bank,Rörlig,"41 320","1,7 mkr",2011-10-01
"3,7",Danske Bank,Rörlig,"41 320","1,4 mkr",110101
"4,15",Swedbank,3 månader,"41 320",1275000,20111001
"4,32",Länsförsäkringar,Rörlig,"41 320","1,6",2012-03-01
"3,75",Handelsbanken,1 år,"41320",2,April 2011
"4,2",SEB,3 år,"41321",,
"3,8",Handelsbanken,3 månader,"41 321",,
"3,16",SEB,3 månader,"41 321",5 mkr,2012-03-15
"3,83",Handelsbanken,Rörlig,"41 321","1,2",120315
"4,15",Swedbank,3 månader,"41 321","1,2 mkr",120301
"3,85",Nordea,3 månader,"41 323",,
